"Version","Market Share"
"iOS 14.2",60.91
"iOS 12.4",6.66
"iOS 14.0",5.29
"iOS 14.1",5.15
"iOS 13.7",4.4
"iOS 13.6",4.05
"iOS 13.5",2.47
"iOS 13.3",2.27
"iOS 10.3",1.17
"iOS 9.3",1.15
"iOS 13.4",1
"iOS 12.1",0.67
"iOS 13.1",0.6
"iOS 12.3",0.57
"iOS 11.4",0.53
"iOS 14.3",0.38
"iOS 13.2",0.35
"iOS 12.2",0.33
"iOS 11.2",0.3
"iOS 11.0",0.24
"iOS 11.3",0.23
"iOS 12.0",0.22
"iOS 10.2",0.11
"iOS 11.1",0.1
"iOS 7.0",0.1
"iOS 7.1",0.1
"iOS 13.0",0.09
"iOS 9.1",0.06
"iOS 8.4",0.05
"iOS 10.1",0.05
"iOS 6.0",0.05
"iOS 9.2",0.05
"iOS 8.1",0.04
"iOS 10.0",0.04
"iOS 6.1",0.03
"iOS 9.0",0.03
"iOS 8.3",0.03
"iOS 5.0",0.02
"iOS 5.1",0.02
"iOS 8.0",0.02
"iOS 4.3",0.02
"Other",0.02
